title,writer,publisher,year,journal,vol_no,link,abstracts
교권의 개념적 구조와 교권침해 사례 분석,이명주,공주교육대학교 초등교육연구원,2017,敎育論叢,Vol.54 No.3,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=5891a4cda8b18f7947de9c1710b0298d&keyword=교권침해,"이 논문은 교권의 개념적 구조와 교권침해 사례를 분석하기 위해 실시되었다. 연구 목적을 달
성하기 위해 교권침해 관련 문헌을 검토하였고 교권침해 대상자에 대한 면담을 실시하였다. 연
구결과를 요약하면 다음과 같다.
첫째, 교권은 교원이 갖는 권리와 권위이다. 법적으로 교원에 주어진 권리는 교육할 권리, 신분상의
권리, 재산상의 권리이며 사회적·윤리적으로 부여된 권위는 전문적 권위와 도덕적 권위이다. 둘째,
교권침해는 법적으로 주어진 권리침해와 전문적·도덕적 권위 침해까지 다양하고 광범위하게 나타났다.
권리침해는 교육할 권리, 신분상의 권리 침해가 대부분이었으며 교육할 권리는 수업권 침해, 신분상의
권리는 신분 및 직위 보유권, 의사에 반한 신분 조치의 사례가 많았다. 교원의 전문적 권위와 도덕적
권위에 대한 침해 사례도 많았다. 셋째, 교권침해는 주로 학생과 학부모에 의해 이루어지고 교원
상호간에 의한 침해 사례도 있었다. 또한 교육부의 교육정책이나 교원정책이 교권침해의 빌미가
되기도 하였다. 교권침해 형태는 비난과 비방 등 언어적 표현과 폭행, 폭력 등 신체적 위협 나아가 형
사고발 등 다양하게 나타났다.
교권 확립을 위해 학생의 학습권을 침해할 가능성이 있는 교육활동권 침해에 대해 가중처벌 등
의 명시적 규정 을 두는 등 좀 더 적극적인 보호조치를 법제화할 필요가 있다. 아울러 교원 스스
로 전문적 권위와 도덕적인 권위를 강화하기 위한 자구책 마련이 요구된다."
교권침해 실태와 영향요인에 대한 연구: 학부모의 인식을 중심으로,"최선옥,염보아,황의갑",한국치안행정학회,2018,한국치안행정논집,Vol.14 No.4,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=9b534da264094cb0c85d2949c297615a&keyword=교권침해,"This study attempted an exploratory study on violence against teachers. Violence against teachers have continued to increase in our society. Adding on previous research on violence against teachers by students, this study gave attention to the role and the perception of parents.
Out of 449 press releases during the last three years with the key words ""violence against teacher,"" 269 articles were collected and used to estimate the prevalence of violence against teachers. The results showed an interesting pattern that more violence against teachers were committed by parents than by students.
As well, the analyses of online survey of 424 parents from elementary, middle, and high schools showed that those parents who had higher perceptions of general violence against teachers in our society and schools were likely to had higher perceptions of provability of violence against teachers in the school where their children was associated. On the other hand, those parents who showed a higher evaluation of their schools expressed lower provability of violence against teachers.
Suggestions for the policy and future research were discussed based on the findings. 이 연구는 교권침해가 계속 증가하고 있는 가운데 교권침해와 관련된 언론보도자료 분석과 이에 따른 학부모의 교권침해에 대한 인식, 그리고 교권침해 가능 상황에 대한 학부모의 인식에 영향을 미치는 요인을 살펴보고자 한다. 이를 위하여 최근 3년간 주요언론과 방송사 그리고 경기지역 종합신문에 보도된 교권침해 기사를 검색하였고 총 449건 중 269건이 ‘교권침해’나 ‘교권침해 보호’와 관련되었다. 그리고 경기도내 초・중・고등학교 95개교 각 1학급의 학부모를 대상으로 온라인 설문조사를 실시하여 전체 424명 중 불성실한 응답 8명을 제외한 416명을 분석하였다.
연구결과, 2014년부터 언론보도 건수는 증가하고 있고, 2016년에 114건으로 전년대비 2배 가까이 증가하였으며, 2017년에도 6월까지 49건이 보도되어 우리사회의 교권침해에 대한 관심이 증가하고 있음을 알 수 있었다. 설문분석 결과에서도 학부모들 대다수가 우리사회의 교권침해가 ‘심각하다’고 인식한 반면에 자녀가 재학 중인 학교의 교권침해는 ‘심각하지 않다’고 인식하는 흥미로운 경향을 보였다. 학부모의 교권침해 인식에 영향을 미치는 요인으로는 ’학생인권침해에 따른 교권침해 가능 상황‘이 유의미하게 나타났고, 학생의 교권침해 가능상황에 대한 학부모의 인식에 영향을 미치는 요인은 학부모의 우리사회와 자녀 학교의 교권침해에 대한 종합적인 인식과 학교에 대한 전반적인 평가가 중요하게 나타났다. 이러한 연구결과에 근거하여 교권침해에 대한 학부모의 인식의 변화를 위한 정책대안에 대하여 논하였다."
특수학교에 근무하는 특수교사의 교권침해 관련 경험과 인식,"홍정숙,구본재,김동원,안상권,우선주",이화여자대학교 특수교육연구소,2021,특수교육,Vol.20 No.3,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=944993ea34d039d44884a65323211ff0&keyword=교권침해,"연구목적: 이 연구는 특수학교에 근무하는 특수교사의 교권침해 관련 경험과 인식 내용을 밝히고, 이를 토대로 특수학교 교권침해 예방 및 교권 존중을 위한 실천적, 정책적 시사점을 제시하는 것을 목적으로 한다. 연구방법: 최근 3년간 특수학교에 근무하고, 직·간접적인 교권침해 경험이 있는 특수교사 17명에게 개별 심층 면담을 실시하였고, 면담 전사 자료를 지속적 비교분석법으로 분석하였다. 자료 분석 결과, 3개의 범주, 7개의 주제와 36개의 하위 주제를 도출하였다. 연구결과: 3개의 범주는 ‘교권침해 주체와 유형’, ‘교권침해의 원인, 예방, 대처’, ‘교권침해 개선 방안’이었다. 이에 따른 7개의 주제는 ‘학생의 교권침해’, ‘학부모의 교권침해’, ‘교직원의 교권침해’, ‘교권침해 원인’, ‘교권침해 예방 노력과 대처 방식’, ‘학교문화 개선’, ‘제도 및 정책 개선’ 으로 분류되었다. 결론: 연구 결과를 토대로 특수학교 교사의 교권침해 예방 및 교권 존중을 위한 시사점을 제시하였다. Purpose: The purpose of this study was to investigate both experiences and perceptions of infringement of special education teachers’ rights in special education schools and to make practical and policy suggestions to prevent an infringement of teachers’ rights in special education schools. Method: In-depth interviews were conducted for 17 teachers with teaching experience in special education schools over the past three years who had experienced infringement of teachers’ rights, either directly or indirectly, during that time. Results: Three categories were identified: 1) types of infringement of teachers’ rights, 2) causes, prevention, and responses-regarding the infringement of teachers’ rights, and 3) improvement tasks. Seven themes were identified: students’ infringement of teachers’ rights, parents’ infringement of teachers’ rights, school managers’ infringement of teachers’ rights, causes of infringement of teachers’ rights, efforts to prevent infringement of teachers’ rights, and response to such an infringement of teachers’ rights, improvement of school culture, and improvement of related system and policies. Conclusion: Implications for preventing infringement of teachers’ rights were suggested to respect teachers’ authority in special education schools."
특수학급이 설치된 일반학교 특수교사의 교권침해 경험과 개선 방안,"홍정숙 ( Hong Jeongsuk ),조정민 ( Cho Jungmin ),조정현 ( Cho Junghyun ),최광현 ( Choi Kwanghyeon )",한국지적장애교육학회(구 한국정신지체아교육학회),2021,지적장애연구,Vol.23 No.2,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=058bb49b719e67116aae8a972f9116fb&keyword=교권침해,"이 연구는 특수학급이 설치된 일반학교 특수교사가 경험한 교권침해 실태와 지원 요구를 질적 연구를 통해 밝히고, 이를 토대로 특수교사의 교권침해 개선을 위한 실천적, 정책적 시사점을 제시하는데 목적을 두었다. 연구 방법으로는 특수학급에 근무하고 최근 3년 이내에 직·간접적인 교권침해 경험이 있으며 그 정도가 보통 이상인 특수교사 19명에게 개별 심층면담을 실시하였고, 면담 전사 자료를 연속적 비교분석법으로 분석하였다. 자료 분석 결과, 3개의 범주, 8개의 주제와 42개의 하위 주제를 도출하였다. 연구 결과, 3개의 범주는 ‘주체별 교권침해 유형’, ‘교권침해의 원인과 영향’, ‘교권침해 대처 실태 및 개선 방안’이었다. 이에 따른 8개의 주제는 학부모의 교권침해, 관리자의 교권침해, 교직원 및 보조인력의 교권침해, 학생의 교권침해, 교권침해의 원인, 교권침해의 부정적 영향, 교권침해 발생 시 대처 방식, 교권침해의 개선 방안으로 분류되었다. 연구 결과를 바탕으로 특수학급 교사의 교권침해를 예방하고 교권침해 상황을 개선하기 위한 시사점 및 개선 방안을 논의 및 제언하였다. The purpose of this study is (a) to investigates the current state of infringement of teachers’ rights as experienced by special education teachers working at regular schools with a class for special education and their need for support and (b) to suggests practical methods and policy proposals to reduce the infringement of special class teachers’ rights. For the research methodology, in-depth interviews were conducted with 19 special education teachers in charge of a special class who experienced infringement of their teachers’ rights directly or indirectly more than once in the past three years to a moderate or more severe extent. The interview transcription data were analyzed based on the continuous comparative analysis. As a result of the data analysis, 41 sub-themes, 8 themes, and 3 categories were derived. Three themes were identified on the basis of the analysis result: type of infringement, cause and effect of infringement of teachers’ rights, and response to the infringement of teachers’ rights and improvement measure. Eight sub-themes were further identified, including parents’ infringement of teachers’ rights, school managers’ infringement of teachers’ rights, other teachers’ or school staff’s infringement of teachers’ rights, students’ infringement of teachers’ rights, causes of infringement of teachers’ rights, negative effect of infringement of teachers’ rights, response to the infringement of teachers’ rights, and improvement measure. Based on the analysis, we propose methods of how to prevent infringement of teachers’ rights for special education teachers working at regular schools with a special education class and reduce the infringement of teachers’ rights."
예비 유아교사의 교권 및 교권침해에 대한 인식,"안지은,김소향",부산교육대학교 미래교육원,2023,초등교육연구,Vol.38 No.1,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=6a29af4a40c05971e9810257f7042666&keyword=교권침해,"The purpose of this study is to provide basic data for the development of teacher education related to teacher’s right and authority of pre-service early childhood teachers by examining pre-service early childhood teachers' perception of right and authority for teacher and infringement of right and authority for teacher. The results of the study are as follows; First, looking at the perception of teacher’s right and authority, 77.6% knew about teacher’s right and authority. As for the right to teacher’s right and authority, the right to education was the highest. 44.4% knew only the Early Childhood Education Act regarding the law related to teacher’s right and authority. Teachers had the highest share of curriculum decisions at 55.8%. Teaching method decisions were similar at 33.6% for children, 33.2% for teachers, and 33.2% for administrators. Teachers were the highest at 77.8% in early childhood guidance evaluation decisions. Teachers were the highest with 55.8% of early childhood guidance discipline determination. As for the right to status, 44.4% were aware of the non-arrest privilege. As for the request to guarantee the right to status, the right to hold status was the highest at 44.6%. Recognition of guaranteeing the right to property was the highest at 55.6% for welfare benefits. As for the request for guaranteeing the right to property, the claim for remuneration was the highest at 44.4%. The need for the role of teachers' organizations was 89%. As for the role of teachers' organizations, efforts to improve treatment and welfare were the highest at 55.6%. Second, looking at the perception of infringement of teacher right and authority, the highest understanding of infringement of teacher right and authority was violation of personality, privacy, and physical freedom due to status reasons at 77.8%.  Parents were the biggest subject of infringement of teacher right and authority, with 66.8%. 100% of the opinions were that they were being infringed upon. As for the type of infringement of teacher’s right and authority, transfer of full responsibility and excessive demand for compensation due to safety accidents were the highest at 33.4%. As the main cause of infringement of teacher’s right and authority, the social atmosphere of neglecting teacher’s right and authority was the highest at 66.6%. Regarding the form of parental infringement, parental interference related to the original operation was the highest at 44.4%. In the form of infringement of teacher’s right and authority, 33.4% of class interruption and 33.2% of assault were found. Regarding the type of infringement on teacher’s right and authority, the authoritative teaching culture was the highest at 44.2%. In case of infringement of teacher’s right and authority, following the instructions after reporting to the right holder was the highest at 55.6%. The difficulty in dealing with infringement of teacher’s right and authority was the highest in passive response due to insecurity of status. In the case of infringement of teacher’s right and authority, efforts to protect teacher’s right and authority were always the highest, and professionalism was always the highest. Support from the Office of Education was the highest in response to requests for follow-up measures against infringement of teacher right. As for what should be preceded for the prevention and protection of infringement of teacher’s right and authority, the social atmosphere that respects teachers was the highest. As for the request for the prevention of infringement of teacher’s right and authority and the protection of teacher’s right and authority, the institutional supplementation and protection of early childhood teachers'  right and authority was the most highly recognized. Accordingly, the necessity of teacher education for pre-service early childhood teachers'  right and authority and infringement of teacher’s right and authority was discussed. 본 연구 목적은 예비 유아교사의 교권 및 교권침해에 대한 인식을 알아봄으로써 예비 유아교사의 교권 관련 교사교육 개발을 위한 기초 자료를 제공하는 것이다. 울산과 부산, 김해 양산지역의 예비 유아교사 500명을 대상으로 스마트폰을 통한 설문 조사를 하였고, 연구 결과는 다음과 같다. 첫째, 교권은 보통 정도의 인식수준이었고, 교권에 대한 권리는 교육의 권리가 가장 높았다. 교권 관련법은 유아교육법을 알고 있었고, 교육과정 결정은 교사가 가장 높았고, 교수법 결정은 유아, 교사, 관리자 순이었다. 유아지도 평가 결정과 유아생활지도 훈육 결정은 교사가 가장 높았다. 신분에 대한 권리는 불체포 특권에 대하여 인식하고 있었고, 신분에 대한 권리 보장 요구는 신분 보유권이 가장 높았다. 재산에 대한 권리 보장 인식은 복지 후생 요구가 가장 높았고, 재산에 대한 권리 보장 요구는 보수 청구권이 가장 높았다. 교원단체 역할의 필요성 인식은 높았고, 교원단체 역할은 처우 개선과 복지 증진을 위한 노력이 가장 높았다. 둘째, 교권침해에 대한 이해는 인격, 사생활, 신체의 자유 침해가 가장 높았고, 교권침해의 가장 큰 주체는 학부모였다. 교권침해는 모두가 받고 있다고 인식하였고, 교권침해 유형은 사고발생으로 인한 책임 전가와 배상요구가 가장 높았다. 교권침해가 발생하는 주된 원인은 교권을 경시하는 사회적 분위기였고, 학부모의 교권침해 형태는 원 운영과 관련된 간섭이 가장 높았다. 유아의 교권침해 형태는 수업방해와 폭행이었고, 관리자의 교권침해 형태는 권위적인 교직문화 강요가 가장 높게 나타났다. 교권침해 발생 시 교권보호를 위해 노력해야 하는 사항은 전문성 향상 노력이 가장 높았고, 교권침해 예방 및 보호를 위해 선행되어야 할 사항은 교사를 존중하는 사회적 분위기가 가장 높게 나타났고, 교권침해 예방 및 교권보호 요구는 유아교사의 교권에 대한 제도적 보완과 보호를 가장 높게 인식하고 있었다. 이에 예비 유아교사의 교권 및 교권침해에 대한 교사교육의 필요성을 논의하였다"
교권침해 실태에 대한 중학교 교사의 인식 조사,"최경실,주철안",부산대학교 교육발전연구소,2015,교육혁신연구,Vol.25 No.1,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=616d209ea2e5cb82b7998d826d417196&keyword=교권침해,"This paper is to examine the violation of teachers’ rights in the classroom. For the study it surveyed 466 teachers in 14 middle schools of Yang-San, Kyung-Nam province. The major findings are the follows.
First, teachers have recognized the serious violation of teachers’ rights. Teachers have experienced violent behavior and verbal abuse from students in the classroom one to three times, on average with female teachers have experienced. Most of these incidents occur when students do not follow the teachers’ instruction. They mostly happen at the beginning of the first semester, during the class and in the classroom.
Second, the improper behavior of students is the most common type of violation. In private school and the smaller area, improper behavior of the parents is more common. Female teachers and teachers in public school have experienced assault and verbal violence. Students tend not to conform to the direction of head teachers or teachers with more than 20 years experience. 본 연구는 교권침해 실태에 대한 중학교 교사의 인식을 분석하였다. 이를 위해서 경남 양산시 소재 14개 중학교에 근무하는 교사 466명을 대상으로 설문조사를 실시하였다. 주요 연구 결과는 다음과 같다. 첫째, 중학교 교사가 인식하는 교권침해의 수준은 심각한 편이며, 주로 학생과 학부모가 교권을 침해하였으며, 공립일수록 학생을 교권침해자로 더 인식하였다. 최근 3년간 교사들이 경험한 교권침해 횟수는 1∼3회 정도이며, 공립학교에 근무한 여교사가 더 많이 경험하였다. 교권침해는 1학기 초, 교실의 수업시간에 많이 발생하였으며, 면지역에서는 학생지도 시에 교권침해가 많았다. 둘째, 학생의 부당행위가 가장 많이 발생하는 교권침해 유형이며, 사립과 면지역에서는 학부모의 부당행위가 더 많았다. 공립에 근무하는 여교사 및 일반교사는 폭행 및 언어폭력 방식의 교권침해를 많이 겪으며, 교직경력이 20년 이상이거나 부장교사일수록 학생들이 교사의 정당한 지시를 이행하지 않는 것으로 나타났다."
교권침해에 관한 판례분석 연구,"김민규 ( Kim Min Kyu ),이상신 ( Lee Sang Shin ),엄문영 ( Eom Moon Young )",대한교육법학회,2016,敎育 法學 硏究,Vol.28 No.3,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=79a2be13c28370b6d18150b21a227875&keyword=교권침해,"이 연구에서는 교권침해와 관련된 판례를 분석하고, 이를 토대로 교사의 교권을 강화하여 보장할 필요성을 제시하고자 하였다. 연구의 목적을 달성하기 위해서 먼저 교권침해와 관련된 판례를 교사의 교육할 권리 침해, 전문직 종사자로서의 권리 침해, 인간으로서의 기본권 침해로 구분하여 살펴보고 이에 대한 법적 판단을 조망하였다. 그리고 교권침해와 관련된 판례와 함께 관련된 쟁점을 비교·분석하였으며, 분석한 결과를 바탕으로 교권의 법적보장에 대한 필요성과 개선방안을 제시하였다. 교권침해와 관련된 판례들을 살펴보고 분석 결과, 과거에 비해 최근 10년 간 교권 이 침해되는 유형이 다양해지고 있으며 그 침해의 정도도 점차 심화되는 것을 확인할수 있었다. 특히 교사의 정당한 지시에 학생이 따르지 않더라도 교사가 취할 수 있는 적절한 대응수단이 마땅치 않은 경우가 많이 나타났다. 분석 결과를 바탕으로 제시된 개선 방안들은 첫째, 교권 보장을 위한 강력한 법적 보완 필요, 둘째, 명백한 교권 침해 경우의 재판부 적극 개입 필요, 셋째, 교권침해 관련 매뉴얼 도입으로 구체적 기준마련 필요 등이다. The purpose of this study is to analyze the precedents related with infringement of teachers`` right and presented by the need to ensure the strengthening of the teachers`` right based on it. In order to achieve the purpose of the study, look at the separation of the cases related to the infringement was overlooking the clerical legal judgment on this. And we compared and analyzed the issues associated with the case law relating to infringement of clericalism, and suggested the need for improvement of the legal guarantee of the teachers`` right based on the result of analysis. After the analysis of precedents related with infringement of teachers`` right, this right what is becoming a serious infringement contained in the last 10 years than in the past, it was also confirmed that the deepening gradually the degree of its infringement. In particular, even if it was a lot of students just follow the instructions of teachers lack access appropriate countermeasures that teachers can take. In the present improvement of the legal guarantee of the authority are as follows. First, it is necessary to supplement the legal authority to ensure the strongly. Second, in case of judicial authority regarding the apparent infringement, the court of actively punished effort is required. Third, it is necessary to establish the specific criteria with the introduction of a clerical infringement manual."
교권침해를 경험한 초등학교 교사의 회복과정에 대한 자문화기술지,"장세린(Chang, Se rin),정윤경(Chung, Yun-kyoung)",한국질적탐구학회,2021,질적탐구,Vol.7 No.3,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=117b7b2e6cb23dc3d18150b21a227875&keyword=교권침해,"본 연구의 목적은 한 초등학교 교사의 교권침해 경험과 그 회복과정을 조명하는 것이다. 이를 위하여 교권침해 교사의 경험을 통해 교권침해 문제해결을 어렵게 하는 학교의 구조적 메커니즘을 분석하고, 공론화를 통해 학교 차원에서 교권침해 문제를 해결해 가는 과정을 서술하였다. 연구방법은 경험 당사자의 목소리를 효과적으로 들려줄 수 있는 자문화기술지를 사용하였다. 연구 결과는 크게 침해경험과 회복과정으로 나누어 서술하였다. 침해경험은 교권침해 문제 해결을 어렵게 하는 학교 시스템의 구조적인 문제점을 보여주고, 학부모와 학생에 의한 교권침해 경험을 보여준다. 교권침해로부터 회복하는 과정은 첫째, 관리자 교체와 더불어 공론화를 위한 연구자의 노력으로 학교 차원의 연대 형성이 가능했고, 둘째, 학부모와 관계 회복 셋째, 교사로서의 권위와 수업권 회복이 필요했음을 시사한다. 연구 결과가 주는 시사점은 다음과 같다. 첫째, 교권침해 문제를 공론화하고 학교 차원에서 해결하기 위해서는 변혁적 리더십을 가진 관리자가필요하다. 둘째, 암묵적 능력주의에 젖은 교직 사회의 분위기와 교사들의 인식이 변화할 필요가있다. 셋째, 교권 보호를 위한 절차 중심의 해결 방식이 수정되어야 한다. 마지막으로 교권 회복의 최종 목표는 수업의 정상화이며, 교사의 원활한 수업을 위해 어떤 지원이 필요한지 고민해 볼필요가 있다 This papers aims to shed light on an elementary school teacher’s experience of infringement on teachers rights and its recovery process. For this purpose it analyzed the structural mechanisms of schools that make it difficult to solve problems of teachers’ rights infringement through the experience of teachers’ rights violations, and described the process of solving problems at the school level through public discussion, not by individual teachers. For the research method, autoethnography was adopted as it could effectively speak the voices of experienced parties. The results of this study were largely described as damage experiences and recovery processes. The damage experience shows the structural problems of the school system that make it difficult to solve the problem of infringement on teachers’ rights, and shows experience of infringement on teachers’ rights by parents and students. The process of recovering from the challenge against teaching authority implicated first, it was possible to form a solidarity at the school level with researchers’ efforts to make public discussions along with the replacement of managers, second, restore relationships with parents, and third, recover the authority and teaching rights of teachers. The implications of this study are as follows: First, a manager with transformative leadership is needed to have public discussion on and resolve the issue at school level. Second, the attitude relying on implicit competence in teaching society and the perception of teachers need to change. Third, procedure-oriented solutions to protect teaching rights should be revised. Lastly, the final goal of restoring teachers’ rights is normalization of classes, and it is necessary to figure out what support is needed to help teachers lead their classes seamlessly"
유치원 교사의 교권 및 교권침해에 대한 인식,"박미영(Park, MiYeong),박한숙(Park, HanSook)",학습자중심교과교육학회,2018,학습자중심교과교육연구,Vol.18 No.8,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=0773602d1aaf04f2b7998d826d417196&keyword=교권침해,"본 연구는 유치원 교사의 교권 및 교권침해에 대한 인식과 그 차이를 분석하여 교권의 보호와 교권침해 예방을 위해 필요한 정책 제안의 기초 자료를 제시하는데 그목적이 있다. 본 목적 달성을 위해 B광역시에 근무하는 유치원 교사들 295명을 대상 으로 2017년 1월 3주부터 2017년 2월 2주까지 약 4주에 걸쳐 설문 조사를 실시하였 다. 연구 결과에서 첫째, 유치원 교사의 교권 인식 수준은 보통 정도이며 교권 가운데 교육의 권리를 가장 중요하게 인식하는 것으로 나타났다. 반면 신분, 재산, 교원 단체 활동권의 보장에 대해 잘 알지 못하며 각 권리의 보장에 대한 이해나 인식 정도는 미흡한 것으로 나타났다. 그러나 고연령의 교사는 교원단체 역할의 필요성을 인식하는 정도가 높았다. 둘째, 고연령의 교사일수록 교권침해가 사회적 문제와 관련이 있다는 인식이 나타났다. 교권침해의 가장 큰 주체는 학부모이며 다른 교육 관련 당사자 간에도 교육활동을 방해하는 형태로 침해가 발생한다는 인식이 나타났다.
그러나 유치원 교사는 교권침해 발생에도 소극적 대응을 하는 것으로 나타났다. 따라서 교권의 보호와 교권침해 예방을 위해서는 교사의 전문성 향상을 위한 노력이 필요하며 유치원 교사의 교권을 존중하는 사회적 분위기의 선행과 함께 이를 뒷받침 해주는 제도적 보완과 보호 정책이 필요한 것으로 나타났다. The purpose of this study is to present the basic data to the policy proposals necessary for the protection of pedestrian rights and the prevention of infringement of pedestrian rights by analyzing the perception and differences of pedagogical rights and infringement of pedestrian rights of kindergarten teachers. For the purpose of this study, we surveyed 295 kindergarten teachers who work in B city for 3 weeks from January 3, 2017 to February 2, 2017 for about 4 weeks. First, Kindergarten teachers showed that the level of perception of jurisdiction was normal and that the right of education was the most important among the jurisdictions. On the other hand, it is not well understood about the guarantee of the status, property, and the right of activity of teachers  group and it is not recognized that understanding of guarantee of each right is insufficient. Especially, teachers with higher age were more aware of the necessity of the role of teachers  organizations. Second, the higher the age of the teacher, the more perceptions that the infringement of the authority is related to social problems. The perception that violation occurred in the form of interfering with educational activities among parents and other education related parties appeared to be the main subject of infringement of authority. However, Kindergarten teachers responded positively to the occurrence of infringement of the authority. Therefore, in order to protect the right of the church and prevent the infringement of the right of the church, efforts are needed to improve the professionalism of the teachers, and the social atmosphere that respects the right of the teachers of the kindergarten teachers is necessary and institutional supplement and protection policy are needed."
교권침해 피해 교원의 심리적 치유와 성장을 위한 개입방안 탐색,"정애경,공윤정,황매향,김혜숙,여태철",한국초등상담교육학회,2019,초등상담연구,Vol.18 No.2,https://www.riss.kr/search/detail/DetailView.do?p_mat_type=1a0202e37d52c72d&control_no=358338efb6ffbfd3e9810257f7042666&keyword=교권침해,"This study aims to review the studies on teachers right infringement and psychological healing and growth after trauma, and draw implications for the prevention and intervention strategies for teachers with trauma. To do this, firstly the definition and diagnosis of trauma were described to understand the symptoms related to teachers right infringement. The major categories and subjects of studies on trauma were also reviewed. Precedent studies on teachers right infringement in Korea were classified and overviewed in terms of the features of teachers right infringement, the relevant symptoms, and the coping strategies. Cognitive reprocessing and integration, social support, and coping strategies were covered as the therapeutic factors for post-traumatic growth and healing after the relational trauma of teachers right infringement. Short-term and long-term intervention, seeking safety therapy, and integrative trauma counseling model were reviewed as effective counseling models to help post-traumatic growth. Based on the literature review, intervention strategies of teachers right infringement-related trauma were suggested such as improvement of institutional support(eg., counseling services), coping with trauma by balancing the processing of traumatic incidents and containment, education on stress management, and education on emotional regulation. Limitations of the current study and suggestions for the future studies were described. 이 연구는 교사가 경험하는 심리적 외상 및 외상 후 성장을 중심으로 현재까지 수행된 교권침해 연구와 심리적 치유 및 성장 모형을 검토하고, 이를 기초로 교권침해 예방 및 피해 교원을 위한 개입 방안에 주는 시사점을 도출하는 데 목적이 있다. 이를 위해 먼저, 교권침해를 이해하는데 바탕이 되는 심리적 외상의 정의와 진단, 심리적 외상 관련 연구의 주요 분류 및 대상을 검토하였다. 다음으로 국내 연구를 중심으로 교권침해 관련 선행 연구를 교권침해 양상, 교권침해로 인한 고통, 교권침해에 대한 대처로 구분하여 개관하였다. 교권침해라는 대인관계 외상 이후의 성장과 치유 요건으로 인지적 재처리와 통합, 사회적 지지와 대처방식에 대해 다루고, 외상 후 성장을 돕기 위한 상담모형으로 단기적 개입과 장기적 개입, 안전기반치료 및 통합적 트라우마 상담모형을 살펴보았다. 교원의 대인외상의 치유를 위한 개입방안으로 상담을 비롯한 제도적 지원의 개선, 외상사건의 처리와 간직하기 사이의 균형을 통한 외상의 치유, 예방을 위한 스트레스 대처방법 교육과 정서조절 교육 등을 논의하였다. 연구의 제한점 및 후속 연구를 위한 제언을 기술하였다."
